0/pub_date,0/author,0/isbn,0/publisher,0/language,0/title,0/isbn/0,0/isbn/1
出版日期：2011/05/01,高山榮子,ISBN：9789866310362,出版地：台灣,語言：繁體中文,小浣上學去 1 新來的轉學生,,
出版日期：2011/05/01,桑德琳．杜馬斯．羅伊,ISBN：9789866310393,出版地：台灣,語言：繁體中文,都是放屁惹的禍,,
出版日期：2011/08/01,高山榮子,ISBN：9789866310409,出版地：台灣,語言：繁體中文,小浣上學去 2 喔 ~ 談戀愛,,
出版日期：2013/03/01,雷歐．提姆,ISBN：9789866310935,出版地：台灣,語言：繁體中文,魔法畫家何內先生,,
出版日期：2011/05/01,潘妮．安．藍恩/圖文,ISBN：9789866310430,出版地：台灣,語言：繁體中文,我的建築形狀書,,
出版日期：2014/04/01,威廉．史塔克/圖文,ISBN：9789865811297,出版地：台灣,語言：繁體中文,派弟是個大披薩,,
出版日期：2014/09/01,大枝史郎,ISBN：9789865811594,出版地：台灣,語言：繁體中文,月亮變變變：我的第一本月亮觀察書,,
出版日期：2014/04/01,貞娜‧溫特,ISBN：9789865811372,出版地：台灣,語言：繁體中文,黑猩猩的好朋友：珍‧古德（附導讀）,,
出版日期：2013/03/01,彌寢正一,ISBN：9789867428288,出版地：台灣,語言：繁體中文,獅子漱漱口,,
,基斯．莫爾畢克/圖文,ISBN：9789866310805,出版地：台灣,,聖誕節倒數計時 (魔術方塊玩具書),,
出版日期：2014/03/01,栗田伸子,ISBN：9789865811402,出版地：台灣,語言：繁體中文,小烏鴉汪汪,,
出版日期：2014/03/01,凱薩琳．克魯爾,ISBN：9789865811396,出版地：台灣,語言：繁體中文,喜歡塗鴉的男孩：蘇斯博士的童年故事,,
出版日期：2013/06/01,金煌,,出版地：台灣,語言：繁體中文,男爵的鳥巢箱,那些美好小小一搓，但也許有天它會像森林般綠意蔓延…… 文／菜小配2013年06月07日 以前這地方叫做「福爾摩沙」，現在有人說它是「鬼島」。 民意選出的政府壞了，我們無法制裁…… 用心製作的食物毒了，每一口都是刃…… 救人的被酒醉的撞了，下一個會是誰…… 用保麗龍重建震災房，再倒一次吧…… 還不夠，這些都不夠讓人傷心欲絕，來 more,ISBN：9789865811020
